Name                 | Val 1               | Val 2               | Results             
--------------------------------------------------------------------------------------
Corby                | 34940               | 6202                | 5.634
Moe                  | 35696               | 5919                | 6.031
Marcia               | 92987               | 2458                | 37.830
Riley                | 34221               | 3948                | 8.668
Erny                 | 32837               | 9570                | 3.431
Tomasine             | 14038               | 5290                | 2.654
Emmit                | 38037               | 4511                | 8.432
Benjy                | 20914               | 4723                | 4.428
Herman               | 13934               | 3661                | 3.806
Maryanne             | 74093               | 5988                | 12.374
Skyler               | 98053               | 9732                | 10.075
Lissie               | 64575               | 5430                | 11.892
Abbye                | 6618                | 4023                | 1.645
Robb                 | 90915               | 5114                | 17.778
Emeline              | 25123               | 9181                | 2.736
Andie                | 54900               | 7108                | 7.724
Jennette             | 10033               | 2468                | 4.065
Kym                  | 81539               | 6156                | 13.245
Mabelle              | 62240               | 549                 | 113.370
Glenn                | 70880               | 1785                | 39.709
Pearla               | 69678               | 4020                | 17.333
Annabela             | 68302               | 3660                | 18.662
Jillian              | 31941               | 7836                | 4.076
Fowler               | 96806               | 4963                | 19.506
Cissy                | 84136               | 6204                | 13.562
Shurlock             | 18157               | 6625                | 2.741
Zora                 | 72286               | 6201                | 11.657
Viv                  | 1541                | 3864                | 0.399
Gail                 | 81801               | 4251                | 19.243
Rolando              | 91447               | 3452                | 26.491
Cristin              | 37627               | 680                 | 55.334
Tressa               | 14324               | 5009                | 2.860
Paulette             | 10552               | 6464                | 1.632
Bili                 | 31063               | 4525                | 6.865
Adore                | 20095               | 5846                | 3.437
Alberto              | 45183               | 138                 | 327.413
Rik                  | 69260               | 8263                | 8.382
Misty                | 5876                | 865                 | 6.793
Allie                | 85328               | 4339                | 19.665
Fidela               | 90237               | 65                  | 1388.262
Rutter               | 76570               | 4300                | 17.807
Kevin                | 88454               | 6354                | 13.921
Lissie               | 79002               | 4976                | 15.877
Quillan              | 35519               | 2064                | 17.209
Kile                 | 42847               | 4595                | 9.325
Rudyard              | 9941                | 3237                | 3.071
Hakim                | 96743               | 2989                | 32.366
Grete                | 65571               | 7283                | 9.003
Woodrow              | 92902               | 5954                | 15.603
Alphard              | 5072                | 7200                | 0.704
Dacia                | 4155                | 8121                | 0.512
Tab                  | 4546                | 2130                | 2.134
Aggy                 | 25692               | 5472                | 4.695
Quentin              | 33251               | 7341                | 4.529
Addie                | 96365               | 9191                | 10.485
Gilly                | 22564               | 8652                | 2.608
Nilson               | 96340               | 5456                | 17.658
Carolina             | 82654               | 9335                | 8.854
Allyn                | 97955               | 7152                | 13.696
Orbadiah             | 22503               | 6070                | 3.707
Fernando             | 74064               | 3160                | 23.438
Gavrielle            | 6797                | 6185                | 1.099
Nada                 | 41762               | 2164                | 19.299
Bertine              | 68602               | 1428                | 48.041
Sigfried             | 86952               | 668                 | 130.168
Demetris             | 5363                | 4424                | 1.212
Liesa                | 96912               | 3469                | 27.937
Winifield            | 15721               | 9051                | 1.737
Banky                | 24604               | 7974                | 3.086
Vivien               | 29793               | 2010                | 14.822
Yetta                | 70377               | 5889                | 11.951
Mitchell             | 9700                | 5414                | 1.792
Chad                 | 7772                | 314                 | 24.752
Barby                | 11611               | 9815                | 1.183
Philbert             | 74427               | 6835                | 10.889
Ruthi                | 64871               | 5483                | 11.831
Cross                | 96402               | 3913                | 24.636
Sylas                | 69704               | 4776                | 14.595
Collin               | 43701               | 5885                | 7.426
Bud                  | 54104               | 9634                | 5.616
Aylmar               | 19506               | 6925                | 2.817
Harwilll             | 67780               | 5464                | 12.405
Mikey                | 5349                | 2680                | 1.996
Melamie              | 96555               | 2755                | 35.047
Almeta               | 5528                | 6498                | 0.851
Zacharia             | 15493               | 6880                | 2.252
Sheri                | 73189               | 7057                | 10.371
Karlis               | 81497               | 8800                | 9.261
Noah                 | 2826                | 786                 | 3.595
Caitlin              | 33136               | 4531                | 7.313
Linn                 | 1203                | 5277                | 0.228
Carie                | 40005               | 6970                | 5.740
Dulsea               | 85164               | 8279                | 10.287
Frank                | 30312               | 626                 | 48.422
Jamal                | 77742               | 2293                | 33.904
Jarred               | 87031               | 1249                | 69.681
Meridith             | 91398               | 1253                | 72.943
Alaric               | 30565               | 2316                | 13.197
Evangelin            | 74007               | 986                 | 75.058
Jacquette            | 52398               | 6191                | 8.464
