Name                 | Val 1               | Val 2               | Results             
--------------------------------------------------------------------------------------
Ellsworth            | 16056               | 5821                | 2.758
Rhody                | 27485               | 4898                | 5.611
Cthrine              | 50266               | 4226                | 11.894
Kienan               | 62343               | 1621                | 38.460
Mose                 | 78848               | 7417                | 10.631
Rosco                | 53007               | 9490                | 5.586
Cornelius            | 32585               | 5497                | 5.928
Courtenay            | 55688               | 6404                | 8.696
Sabine               | 66857               | 6066                | 11.022
Justine              | 31694               | 6486                | 4.887
Miles                | 20198               | 365                 | 55.337
Valentin             | 46703               | 3623                | 12.891
Ezechiel             | 40789               | 5738                | 7.109
Felipe               | 62331               | 5968                | 10.444
Gnni                 | 57057               | 1563                | 36.505
Filberto             | 72272               | 5339                | 13.537
Jeremy               | 16267               | 1771                | 9.185
Christophe           | 85558               | 5526                | 15.483
Lucina               | 23531               | 6574                | 3.579
Wandis               | 32901               | 946                 | 34.779
Sam                  | 34899               | 5001                | 6.978
Loella               | 40096               | 80                  | 501.200
Goldarina            | 44127               | 5157                | 8.557
Sharron              | 99104               | 7663                | 12.933
Bettye               | 6914                | 687                 | 10.064
Bettine              | 72065               | 7408                | 9.728
Adelaide             | 90955               | 5244                | 17.345
Perren               | 73584               | 9636                | 7.636
Mohammed             | 55060               | 7149                | 7.702
Andrea               | 39022               | 6489                | 6.014
Benedick             | 86328               | 3628                | 23.795
Bridget              | 88413               | 1275                | 69.344
Thorstein            | 92806               | 7306                | 12.703
Udell                | 8593                | 8699                | 0.988
Emalia               | 37897               | 9835                | 3.853
Peyton               | 79884               | 5915                | 13.505
Arron                | 56805               | 3544                | 16.028
Camey                | 16981               | 5571                | 3.048
Weylin               | 32914               | 6009                | 5.477
Alfonse              | 5310                | 2475                | 2.145
Claudia              | 93973               | 4417                | 21.275
Obidiah              | 87295               | 5605                | 15.574
Chevy                | 73225               | 6502                | 11.262
Anne-corinne         | 24034               | 5975                | 4.022
Kenton               | 98246               | 5372                | 18.289
Valeda               | 69761               | 4534                | 15.386
Phedra               | 67463               | 1719                | 39.245
Rosmunda             | 80871               | 122                 | 662.877
Kellina              | 76954               | 5941                | 12.953
Elbertine            | 44942               | 8139                | 5.522
Pembroke             | 24914               | 8012                | 3.110
Adrian               | 26602               | 9481                | 2.806
Theressa             | 36982               | 4409                | 8.388
Odilia               | 19490               | 2821                | 6.909
Lezley               | 22496               | 821                 | 27.401
Vivianna             | 77858               | 9734                | 7.999
Dorothy              | 72877               | 5249                | 13.884
Lin                  | 49603               | 8192                | 6.055
Gussie               | 69716               | 9796                | 7.117
Morissa              | 58285               | 2742                | 21.256
Traci                | 30826               | 209                 | 147.493
Quint                | 74208               | 1798                | 41.273
Denis                | 74326               | 7062                | 10.525
Cale                 | 17548               | 1013                | 17.323
Jeffy                | 83466               | 4567                | 18.276
Lucie                | 24643               | 4069                | 6.056
Fairfax              | 42075               | 9213                | 4.567
Emmye                | 93523               | 5691                | 16.433
Angil                | 40697               | 197                 | 206.584
Della                | 37238               | 8547                | 4.357
Bobby                | 12064               | 5417                | 2.227
Barb                 | 86627               | 3932                | 22.031
Gabriel              | 13371               | 8422                | 1.588
Bernie               | 17453               | 6696                | 2.606
Louisette            | 5768                | 4699                | 1.227
Claudelle            | 82021               | 5997                | 13.677
Cristy               | 2693                | 1920                | 1.403
Agace                | 85201               | 6822                | 12.489
Farley               | 24386               | 4937                | 4.939
Jere                 | 10198               | 5933                | 1.719
Phil                 | 55958               | 9989                | 5.602
Dwayne               | 1111                | 1792                | 0.620
Rebekkah             | 83197               | 6646                | 12.518
Octavius             | 65752               | 6888                | 9.546
Elsa                 | 33161               | 2437                | 13.607
Moll                 | 30881               | 8196                | 3.768
Ewart                | 56541               | 2092                | 27.027
Levey                | 14935               | 1502                | 9.943
Kyle                 | 12437               | 2860                | 4.349
